"코딩, 디버그, 컴파일, 배포 등 프로그램 개발과 관련된 모든 작업을 하나의 프로그램에서 처리할 수 있도록 제공하는 소프트웨어적인 개발환경",통합 개발 환경 (IDE)
"C, JAVA, Python 등의 프로그래밍 언어로 프로그램을 작성하는 기능",코딩
개발자가 작성한 고급 언어로 된 프로그램을 컴퓨터가 이해할 수 있는 목적 프로그램으로 번역하여 컴퓨터에서 실행 가능한 형태로 변환하는 기능,컴파일
"소프트웨어나 하드웨어의 오류나 잘못된 동작, 즉 버그를 찾아 수정하는 기능",디버깅
소프트웨어를 사용자에게 전달하는 기능,배포
"빌드 도구의 종류 ) _____, Gradle, Maven",Ant
"빌드 도구의 종류 ) Ant, _____, Maven",Gradle
"빌드 도구의 종류 ) Ant, Gradle, _____",Maven
"선형 자료구조의 종류 ) ______, 선형리스트, 스택, 큐, 데크",배열
"선형 자료구조의 종류 ) 배열, ________, 스택, 큐, 데크",선형리스트
"선형 자료구조의 종류 ) 배열, 선형리스트, ______, 큐, 데크",스택
"선형 자료구조의 종류 ) 배열, 선형리스트, 스택, ______, 데크",큐
"선형 자료구조의 종류 ) 배열, 선형리스트, 스택, 큐, ______",데크
"비선형 자료구조의 종류) ______, 그래프",트리
"비선형 자료구조의 종류) 트리, ______",그래프
"리스트의 한쪽 끝으로만 자료의 삽입, 삭제가 이루어지는 자료구조. 후입선출 자료 처리",스택
"_______ 는 스택에 자료를 입력하는 명령이고, ______ 은 스택에서 자료를 출력하는 명령이다","PUSH, POP"
리스트의 한쪽에서는 삽입 작업이 이루어지고 다른 한쪽에서는 삭제작업이 이루어지는 자료구조. 선입 선출 방식으로 처리된다,큐
자료의 삽입과 삭제가 양쪽 끝에서 모두 발생할 수 있는 자료구조. 입력제한과 출력제한이 있다.,데크
"n 개의 정점으로 구성된 무방향 그래프에서 최대 간선의 수는 _______, 이고 방향 그래프에서 최대 간선 수는 _________ 이다.","n(n-1)/2 ,  n(n-1)"
정점(node) 와 선분(Branch)을 이용하여 사이클을 이루지 않도록 구성한 그래프의 특수한 형태,트리
트리 자료구조에서 각 노드에서 뻗어나온 가지의 수,디그리
트리 자료구조에서 자식이 하나도 없는 노드,단말 노드
트리의 운행법) Preorder 에 따른 방문 순서,A-B-D-H-I-E-C-F-G
트리의 운행법) Inorder 에 따른 방문 순서,H-D-I-B-E-A-F-C-G
트리의 운행법) Postorder 에 따른 방문 순서,H-I-D-E-B-F-G-C-A
"8, 5, 6, 2, 4 를 삽입 정렬",
"8, 5, 6, 2, 4 를 선택 정렬",
"8, 5, 6, 2, 4 를 버블 정렬",
레코드의 많은 자료이동을 없애고 하나의 파일을 부분적으로 나누어가면서 정렬하는 방법. 분할과 정복을 통해 자료를 정렬하는 정렬법.,퀵 정렬
해싱 함수로 레코드 키를 해시표의 크기보다 큰 수 중에서 가장 작은 소수로 나눈 나머지를 홈 주소로 삼는 방식,제산법
해싱 함수로 레코드 키 값을 제곱한 후 그 중간 부분의 값을 홈 주소로 삼는 방식,제곱법
해싱 함수로 레코드 키 값을 여러 부분으로 나눈 후 각 부분의 값을 더하거나 XOR 한 값을 홈 주소로 삼는 방식,폴딩법
해싱 함수로 키 값을 이루는 숫자의 분포를 분석하여 비교적 고른 자리를 필요한 만큼 택해서 홈 주소로 삼는 방식,숫자 분석법
"해시 테이블이라는 기억 공간을 할당하고, 해시 함수를 이용하여 레코드 키에 대한 해시 테이블 내의 홈 주소를 계산한 후 주어진 레코드를 해당 기억장소에 저장하거나, 검색 작업을 수행하는 방식",해싱
데이터베이스의 구조와 제약 조건에 관한 전반적인 명세를 기술한 메테데이터의 집합은?,스키마
사용자나 응용 프로그래머가 각 개인의 입장에서 필요로 하는 데이터베이스의 논리적 구조를 정의한 스키마는,외부 스키마
"데이터베이스의 전체적인 논리적 구조로서, 모든 응용프로그램이나 사용자들이 필요로 하는 데이터를 종합한 조직 전체의 데이터베이스 스키마는?",개념 스키마
"물리적 저장장치의 입장에서 본 데이터베이스의 구조로서, 실제로 데이터베이스에 저장될 레코드의 형식을 정의하고 저장 데이터 항목의 표현 방법, 내부 레코드의 물리적 순서등을 나타내는 스키마는",내부 스키마
"저작권자가 배포한 디지털 콘텐츠가 저작권자가 의도한 용도로만 사용되도록 디지털 콘텐츠의 생성, 유통, 이용까지의 전 과정에 걸쳐 사용되는 디지털 콘텐츠 관리 및 보호 기술",디지털 저작권 관리
"디지털 저작권 관리의 구성요소로, 저작권에 대한 사용권한, 라이선스 발급, 사용량에 따른 결제 관리 등을 수행하는 곳",클리어링 하우스
"디지털 저작권 관리의 구성요소로, 콘텐츠를 제공하는 저작권자는?",콘텐츠 제공자
"디지털 저작권 관리의 구성요소로, 콘텐츠를 메타데이터와 함께 배포 가능한 형태로 묶어서 암호화 하는 프로그램은?",패키져
"디지털 저작권 관리의 구성요소로, 암호화 된 콘텐츠를 유통하는 곳이나 사람은?",콘텐츠 분배자
"디지털 저작권 관리의 구성요소로, 배포된 콘텐츠의 이용 권한을 통제하는 프로그램은?",DRM 컨트롤러
"디지털 저작권 관리의 구성요소로, 콘텐츠의 원본을 안전하게 유통하기 위한 전자적 보안 장치는?",보안 컨테이너
"디지털 저작권 관리의 기술요소 중, 콘텐츠 및 라이선스 암호화 기술",암호화
"디지털 저작권 관리의 기술요소 중, 콘텐츠를 암호화 한 키에 대한 저장 및 분배 기술",키 관리
"디지털 저작권 관리의 기술요소 중, 콘텐츠에 대한 식별 체계 표현 기술",식별 기술
"디지털 저작권 관리의 기술요소 중, 라이선스의 내용 표현 기술",저작권 표현
"디지털 저작권 관리의 기술요소 중, 라이선스 발급 및 사용자에 대한 정책 표현 및 관리 기술",정책 관리
"디지털 저작권 관리의 기술요소 중, 크랙에 의한 콘텐츠 사용 방지 기술",크랙 방지
소프트웨어의 개발 과정에서 소프트웨어 변경 사항을 관리하기 위해 개발된 일련의 활동,형상 관리
"형상 관리 도구) _____, CVS, Subversion",Git
"형상 관리 도구) Git, _____, Subversion",CVS
"형상 관리 도구) Git, CVS, _______",Subversion
"형상 관리 기능 중, 형상관리 대상에 이름과 관리 번호를 부여하고, 계층 구조로 구분하여 수정 및 추적이 용이하도록 하는 작업은?",형상 식별
"형상 관리 기능 중 소프트웨어 업그레이드나 유지보수 과정에서 생성된 다른 버전의 형상 항목을 관리하고, 이를 위해 특정 절차와 도구를 결합시키는 작업",버전 제어
"형상 관리 기능 중, 식별된 형상 항목에 대한 변경 요구를 검토하여 현재의 기준선이 잘 반영될 수 있도록 조정하는 작업",형상 통제
"형상 관리 기능 중, 기준선의 무결성을 평가하기 위해 확인, 검증, 겸열 과정을 통해 공식적으로 승인하는 작업",형상 감사
"형상 관리 기능 중, 형상의 식별, 통제, 감사 작업의 결과를 기록, 관리하고 보고서를 작성하는 작업",형상 기록
프로그램을 수정하기 위해 저장소(Repository)에서 파일을 받아오는 기능,체크아웃
체크아웃 한 파일의 수정을 완료한 수 저장소의 파일을 새로운 버전으로 갱신하는 기능,체크 인
체크인을 수행할 때 이전에 갱신된 내용이 있는 경우에는 충돌을 알리고 diff 도구를 이용해 수정한 후 갱신을 완료하는 것,커밋
사용자의 입장에서 개발한 소프트웨어가 고객의 요구사항에 맞게 구현되었는지를 확인하는 것,확인
개발자의 입장에서 개발한 소프트웨어가 명세서에 맞게 만들어졌는지를 점검하는 것,검증
소프트웨어 테스트에서 오류의 80% 는 전체 모듈의 20% 내에서 발견된다는 법칙,파레토 법칙
애플리케이션 대부분의 결함이 소수의 특정 모듈에 집중해서 발생한다는 것을 의미하는 것( 파레토 법칙이 좌우),결함 집중
시스템에 과도한 정보량이나 빈도 등을 부과하여 과부하시에도 소프트웨어가 정상적으로 실행되는지를 확인하는 테스트,강도 테스트
코드의 로직이 서로 복잡하게 얽혀있는 코드,스파게티 코드
아주 오래되거나 참고문서 또는 개발자가 없어 유지 보수작업이 어려운 코드,외계인 코드
모듈의 원시 코드를 오픈시킨 상태에서 원시 코드의 논리적인 모든 경로를 테스트하여 테스트 케이스를 설계하는 방법,화이트박스 테스트
"화이트 박스 테스트의 종류) __________, 제어 구조 검사",기초 경로 검사
"화이트 박스 테스트의 종류) 기초 경로 검사, __________,",제어 구조 검사 
"블랙박스 테스트의 종류 중, 프로그램의 입력 조건에 타당한 입력자료와, 그렇지 않은 입력 자료의 갯수를 균등하게 하여 테스트 케이스를 정하고, 입력 자료에 맞는 결과가 출력되는지 확인하는 것",동치 분할 검사
"블랙박스 테스트의 종류 중, 입력 조건의 중간 값보다 경계값에서 오류가 발생할 확률이 높다는 점을 이용하여, 경계값을 테스트케이스로 선정하여 검사하는 기법",경계값 분석
"블랙박스 테스트의 종류 중, 입력 데이터 간의 관계와 출력에 영향을 미치는 상황을 체계적으로 분석한 다음 효용성이 높은 테스트케이스를 선정하여 검사하는 기법",원인-효과 그래프 검사
"블랙박스 테스트의 종류 중, 과거의 경험이나 확인자의 감각으로 테스트 하는 기법",오류 예측 검사
"블랙박스 테스트의 종류 중, 여러 버전의 프로그램에 동일한 테스트 자료를 제공하여 동일한 결과가 출력되는지 테스트 하는 방법",비교 검사
블랙박스 테스트로 발견 가능한 오류) ______________를 입력해도 오류 처리를 수행하지 않는 경우,비정상적인 자료
블랙박스 테스트로 발견 가능한 오류) ______________를 입력해도 요구된 기능이 제대로 수행되지 않는 경우,정상적인 자료
블랙박스 테스트로 발견 가능한 오류) ________ 을 입력할 경우 요구된 출력 결과가 나오지 않는 경우,경계값
"클린 코드의 작성 원칙) ______, 단순성, 의존성 배제, 중복성 최소화, 추상화 ",가독성
"클린 코드의 작성 원칙) 가독성, ______, 의존성 배제, 중복성 최소화, 추상화 ",단순성
"클린 코드의 작성 원칙) 가독성, 단순성, ______, 중복성 최소화, 추상화 ",의존성 배제
"클린 코드의 작성 원칙) 가독성, 단순성, 의존성 배제, ______, 추상화 ",중복성 최소화
"클린 코드의 작성 원칙) 가독성, 단순성, 의존성 배제, 중복성 최소화, ______",추상화
"소스 코드 품질 분석 도구) ______, checkstyle, cppcheck",pmd
"소스 코드 품질 분석 도구) pmd, ______, cppcheck",checkstyle
"소스 코드 품질 분석 도구) pmd, checkstyle, ______",cppcheck
코딩 직후 소프트웨어에 설계의 최소 단위인 모듈이나 컴포넌트에 초점을 맞춰 테스트 하는 것,단위 테스트
개발한 소프트웨어가 사용자의 요구사항에 충족하는지에 중점을 두고 테스트 하는 방법,인수 테스트
개발자의 장소에서 사용자가 개발자 앞에서 행하는 테스트 기법,알파 테스트
"선정된 최종 사용자가 여러 명의 사용자 앞에서 행하는 테스트 기법으로, 필드 테스팅 이라고도 불리는 테스트 기법은",베타 테스트
속성-값 쌍으로 이루어진 데이터 객체를 전달하기 위해 사람이 읽을 수 있는 텍스트를 사용하는 개방형 표준 포맷,JSON
자바 스크립트 등을 이용하여 클라이언트와 서버간에 XML 데이터를 교환 및 제어함으로써 이용자가 웹 페이지와 자유롭게 상호작용 할 수 있도록 하는 비동기 통신기술,AJAX
네트워크 계층에서 IP 패킷 단위의 데이터 변조 방지 및 은닉 기능을 제공하는 프로토콜. 양방향 암호  방식,IPsec
"JUnit, CppUnit, NUnit, HttpUnit 등 다양한 언어에 적용되는 단위 테스트 프레임워크는?",xUnit
서비스 호출 및 컴포넌트 재사용 등 다양한 환경을 지원하는 테스트 프레임워크는?,STAF
"웹 기반 테스트케이스 설계, 실행, 결과 확인 등을 지원하는 테스트 프레임워크는?",FitNesse
FitNesse 와 STAF 의 장점을 통합한 NHN의 테스트 자동화 프레임워크는?,NTAF
Ruby 를 사용하는 애플리케이션 테스트 프레임워크는?,watir